bin,bank
103,中国农业银行
95555,中国招商银行
356885,中国招商银行
356886,中国招商银行
356887,中国招商银行
356888,中国招商银行
356889,中国招商银行
356890,中国招商银行
370285,中国招商银行
370286,中国招商银行
370287,中国招商银行
370289,中国招商银行
402658,中国招商银行
410062,中国招商银行
439188,中国招商银行
439225,中国招商银行
439226,中国招商银行
439227,中国招商银行
468203,中国招商银行
479228,中国招商银行
479229,中国招商银行
512425,中国招商银行
518710,中国招商银行
518718,中国招商银行
521302,中国招商银行
524011,中国招商银行
545619,中国招商银行
545620,中国招商银行
545621,中国招商银行
545623,中国招商银行
545947,中国招商银行
545948,中国招商银行
552534,中国招商银行
552587,中国招商银行
620520,中国招商银行
621286,中国招商银行
621299,中国招商银行
621483,中国招商银行
621485,中国招商银行
621486,中国招商银行
622575,中国招商银行
622576,中国招商银行
622577,中国招商银行
622578,中国招商银行
622579,中国招商银行
622580,中国招商银行
622581,中国招商银行
622582,中国招商银行
622588,中国招商银行
622598,中国招商银行
622609,中国招商银行
625802,中国招商银行
625803,中国招商银行
628262,中国招商银行
628290,中国招商银行
628362,中国招商银行
690755,中国招商银行
620529,中国邮政储蓄银行
621095,中国邮政储蓄银行
621098,中国邮政储蓄银行
621599,中国邮政储蓄银行
621622,中国邮政储蓄银行
621674,中国邮政储蓄银行
621797,中国邮政储蓄银行
621798,中国邮政储蓄银行
621799,中国邮政储蓄银行
622150,中国邮政储蓄银行
622151,中国邮政储蓄银行
622180,中国邮政储蓄银行
622188,中国邮政储蓄银行
622199,中国邮政储蓄银行
622810,中国邮政储蓄银行
622811,中国邮政储蓄银行
622812,中国邮政储蓄银行
623218,中国邮政储蓄银行
623219,中国邮政储蓄银行
625919,中国邮政储蓄银行
628310,中国邮政储蓄银行
955100,中国邮政储蓄银行
356833,中国银行
356835,中国银行
377677,中国银行
400937,中国银行
400938,中国银行
400939,中国银行
400940,中国银行
400941,中国银行
400942,中国银行
409665,中国银行
409666,中国银行
409667,中国银行
409668,中国银行
409669,中国银行
409670,中国银行
409671,中国银行
409672,中国银行
424106,中国银行
424107,中国银行
424108,中国银行
424109,中国银行
424110,中国银行
424111,中国银行
424902,中国银行
438088,中国银行
451291,中国银行
456351,中国银行
493878,中国银行
512315,中国银行
512316,中国银行
512411,中国银行
512412,中国银行
512695,中国银行
512732,中国银行
514957,中国银行
514958,中国银行
518377,中国银行
518378,中国银行
518379,中国银行
518474,中国银行
518475,中国银行
518476,中国银行
522153,中国银行
524864,中国银行
524865,中国银行
525745,中国银行
525746,中国银行
540297,中国银行
540838,中国银行
541068,中国银行
547628,中国银行
547648,中国银行
547766,中国银行
552742,中国银行
553131,中国银行
558808,中国银行
558809,中国银行
558868,中国银行
558869,中国银行
601382,中国银行
620019,中国银行
620025,中国银行
620026,中国银行
620035,中国银行
620040,中国银行
620061,中国银行
620202,中国银行
620203,中国银行
620210,中国银行
620211,中国银行
620514,中国银行
620531,中国银行
621041,中国银行
621212,中国银行
621231,中国银行
621248,中国银行
621249,中国银行
621256,中国银行
621283,中国银行
621293,中国银行
621294,中国银行
621297,中国银行
621330,中国银行
621331,中国银行
621332,中国银行
621333,中国银行
621334,中国银行
621342,中国银行
621343,中国银行
621364,中国银行
621394,中国银行
621395,中国银行
621568,中国银行
621569,中国银行
621620,中国银行
621638,中国银行
621648,中国银行
621660,中国银行
621661,中国银行
621662,中国银行
621663,中国银行
621665,中国银行
621666,中国银行
621667,中国银行
621668,中国银行
621669,中国银行
621672,中国银行
621725,中国银行
621741,中国银行
621756,中国银行
621757,中国银行
621758,中国银行
621759,中国银行
621782,中国银行
621785,中国银行
621786,中国银行
621787,中国银行
621788,中国银行
621789,中国银行
621790,中国银行
622273,中国银行
622274,中国银行
622346,中国银行
622347,中国银行
622348,中国银行
622479,中国银行
622480,中国银行
622750,中国银行
622751,中国银行
622752,中国银行
622753,中国银行
622754,中国银行
622755,中国银行
622756,中国银行
622757,中国银行
622758,中国银行
622759,中国银行
622760,中国银行
622761,中国银行
622762,中国银行
622763,中国银行
622764,中国银行
622765,中国银行
622770,中国银行
622771,中国银行
622772,中国银行
622788,中国银行
623040,中国银行
623208,中国银行
623309,中国银行
623573,中国银行
625136,中国银行
625140,中国银行
625145,中国银行
625333,中国银行
625337,中国银行
625338,中国银行
625568,中国银行
625905,中国银行
625906,中国银行
625907,中国银行
625908,中国银行
625909,中国银行
625910,中国银行
628312,中国银行
628313,中国银行
628388,中国银行
49102,中国农业银行
53591,中国农业银行
95595,中国农业银行
95596,中国农业银行
95597,中国农业银行
95598,中国农业银行
95599,中国农业银行
103000,中国农业银行
403361,中国农业银行
404117,中国农业银行
404118,中国农业银行
404119,中国农业银行
404120,中国农业银行
404121,中国农业银行
463758,中国农业银行
491020,中国农业银行
514027,中国农业银行
519412,中国农业银行
519413,中国农业银行
520082,中国农业银行
520083,中国农业银行
535910,中国农业银行
535918,中国农业银行
544243,中国农业银行
548478,中国农业银行
552599,中国农业银行
558730,中国农业银行
620059,中国农业银行
620501,中国农业银行
621282,中国农业银行
621336,中国农业银行
621619,中国农业银行
621671,中国农业银行
622820,中国农业银行
622821,中国农业银行
622822,中国农业银行
622823,中国农业银行
622824,中国农业银行
622825,中国农业银行
622826,中国农业银行
622827,中国农业银行
622828,中国农业银行
622830,中国农业银行
622836,中国农业银行
622837,中国农业银行
622838,中国农业银行
622840,中国农业银行
622841,中国农业银行
622842,中国农业银行
622843,中国农业银行
622844,中国农业银行
622845,中国农业银行
622846,中国农业银行
622847,中国农业银行
622848,中国农业银行
622849,中国农业银行
623018,中国农业银行
623052,中国农业银行
623206,中国农业银行
625336,中国农业银行
625826,中国农业银行
625827,中国农业银行
625996,中国农业银行
625997,中国农业银行
625998,中国农业银行
628268,中国农业银行
628269,中国农业银行
6349102,中国农业银行
6353591,中国农业银行
49104,中国交通银行"
49104,中国交通银行
53783,中国交通银行
405512,中国交通银行
434910,中国交通银行
458123,中国交通银行
458124,中国交通银行
491040,中国交通银行
520169,中国交通银行
521899,中国交通银行
522964,中国交通银行
537830,中国交通银行
552853,中国交通银行
601428,中国交通银行
620013,中国交通银行
620021,中国交通银行
620521,中国交通银行
621002,中国交通银行
621069,中国交通银行
621335,中国交通银行
621436,中国交通银行
622250,中国交通银行
622251,中国交通银行
622252,中国交通银行
622253,中国交通银行
622254,中国交通银行
622255,中国交通银行
622256,中国交通银行
622257,中国交通银行
622258,中国交通银行
622259,中国交通银行
622260,中国交通银行
622261,中国交通银行
622262,中国交通银行
622284,中国交通银行
622656,中国交通银行
625028,中国交通银行
625029,中国交通银行
628216,中国交通银行
628218,中国交通银行
955590,中国交通银行
955591,中国交通银行
955592,中国交通银行
955593,中国交通银行
6649104,中国交通银行
6653783,中国交通银行
66405512,中国交通银行
66601428,中国交通银行
601428,中国交通银行
405512,中国交通银行
53783,中国交通银行
53242,中国建设银行
53243,中国建设银行
356895,中国建设银行
356896,中国建设银行
356899,中国建设银行
421349,中国建设银行
434061,中国建设银行
434062,中国建设银行
436718,中国建设银行
436728,中国建设银行
436738,中国建设银行
436742,中国建设银行
436745,中国建设银行
436748,中国建设银行
453242,中国建设银行
489592,中国建设银行
491031,中国建设银行
524094,中国建设银行
526410,中国建设银行
531693,中国建设银行
532420,中国建设银行
532430,中国建设银行
532450,中国建设银行
532458,中国建设银行
544033,中国建设银行
544887,中国建设银行
552245,中国建设银行
552801,中国建设银行
553242,中国建设银行
557080,中国建设银行
558895,中国建设银行
559051,中国建设银行
589970,中国建设银行
620060,中国建设银行
620107,中国建设银行
621080,中国建设银行
621081,中国建设银行
621082,中国建设银行
621083,中国建设银行
621084,中国建设银行
621284,中国建设银行
621466,中国建设银行
621467,中国建设银行
621487,中国建设银行
621488,中国建设银行
621499,中国建设银行
621534,中国建设银行
621598,中国建设银行
621621,中国建设银行
621673,中国建设银行
621700,中国建设银行
622166,中国建设银行
622168,中国建设银行
622280,中国建设银行
622381,中国建设银行
622675,中国建设银行
622676,中国建设银行
622677,中国建设银行
622700,中国建设银行
622707,中国建设银行
622708,中国建设银行
622725,中国建设银行
622728,中国建设银行
622966,中国建设银行
622988,中国建设银行
623094,中国建设银行
623211,中国建设银行
623251,中国建设银行
623656,中国建设银行
623668,中国建设银行
623669,中国建设银行
625362,中国建设银行
625363,中国建设银行
625955,中国建设银行
625956,中国建设银行
625964,中国建设银行
625965,中国建设银行
625966,中国建设银行
628266,中国建设银行
628316,中国建设银行
628317,中国建设银行
628366,中国建设银行
5453242,中国建设银行
5491031,中国建设银行
5544033,中国建设银行
9558,中国工商银行
45806,中国工商银行
53098,中国工商银行
356879,中国工商银行
356880,中国工商银行
356881,中国工商银行
356882,中国工商银行
360883,中国工商银行
360884,中国工商银行
370246,中国工商银行
370247,中国工商银行
370248,中国工商银行
370249,中国工商银行
370267,中国工商银行
374738,中国工商银行
374739,中国工商银行
402791,中国工商银行
427010,中国工商银行
427018,中国工商银行
427019,中国工商银行
427020,中国工商银行
427028,中国工商银行
427029,中国工商银行
427030,中国工商银行
427038,中国工商银行
427039,中国工商银行
427062,中国工商银行
427064,中国工商银行
438125,中国工商银行
438126,中国工商银行
451804,中国工商银行
451810,中国工商银行
451811,中国工商银行
458060,中国工商银行
458071,中国工商银行
458441,中国工商银行
489734,中国工商银行
489735,中国工商银行
489736,中国工商银行
510529,中国工商银行
513685,中国工商银行
524047,中国工商银行
524091,中国工商银行
524374,中国工商银行
525498,中国工商银行
526836,中国工商银行
528856,中国工商银行
530970,中国工商银行
530980,中国工商银行
530990,中国工商银行
543098,中国工商银行
544210,中国工商银行
548259,中国工商银行
548943,中国工商银行
550213,中国工商银行
558360,中国工商银行
620030,中国工商银行
620050,中国工商银行
620054,中国工商银行
620058,中国工商银行
620086,中国工商银行
620094,中国工商银行
620101,中国工商银行
620114,中国工商银行
620124,中国工商银行
620142,中国工商银行
620143,中国工商银行
620146,中国工商银行
620148,中国工商银行
620149,中国工商银行
620183,中国工商银行
620184,中国工商银行
620185,中国工商银行
620186,中国工商银行
620187,中国工商银行
620200,中国工商银行
620302,中国工商银行
620402,中国工商银行
620403,中国工商银行
620404,中国工商银行
620405,中国工商银行
620406,中国工商银行
620407,中国工商银行
620408,中国工商银行
620409,中国工商银行
620410,中国工商银行
620411,中国工商银行
620412,中国工商银行
620502,中国工商银行
620503,中国工商银行
620512,中国工商银行
620516,中国工商银行
620561,中国工商银行
620602,中国工商银行
620604,中国工商银行
620607,中国工商银行
620609,中国工商银行
620611,中国工商银行
620612,中国工商银行
620704,中国工商银行
620706,中国工商银行
620707,中国工商银行
620708,中国工商银行
620709,中国工商银行
620710,中国工商银行
620711,中国工商银行
620712,中国工商银行
620713,中国工商银行
620714,中国工商银行
620802,中国工商银行
620902,中国工商银行
620904,中国工商银行
620905,中国工商银行
621001,中国工商银行
621102,中国工商银行
621103,中国工商银行
621105,中国工商银行
621106,中国工商银行
621107,中国工商银行
621202,中国工商银行
621203,中国工商银行
621204,中国工商银行
621205,中国工商银行
621206,中国工商银行
621207,中国工商银行
621208,中国工商银行
621209,中国工商银行
621210,中国工商银行
621211,中国工商银行
621225,中国工商银行
621226,中国工商银行
621227,中国工商银行
621240,中国工商银行
621281,中国工商银行
621288,中国工商银行
621300,中国工商银行
621302,中国工商银行
621303,中国工商银行
621304,中国工商银行
621305,中国工商银行
621306,中国工商银行
621307,中国工商银行
621309,中国工商银行
621311,中国工商银行
621313,中国工商银行
621315,中国工商银行
621317,中国工商银行
621370,中国工商银行
621371,中国工商银行
621372,中国工商银行
621374,中国工商银行
621375,中国工商银行
621376,中国工商银行
621377,中国工商银行
621378,中国工商银行
621379,中国工商银行
621402,中国工商银行
621404,中国工商银行
621405,中国工商银行
621406,中国工商银行
621407,中国工商银行
621408,中国工商银行
621409,中国工商银行
621410,中国工商银行
621414,中国工商银行
621423,中国工商银行
621428,中国工商银行
621433,中国工商银行
621434,中国工商银行
621464,中国工商银行
621502,中国工商银行
621511,中国工商银行
621558,中国工商银行
621559,中国工商银行
621602,中国工商银行
621603,中国工商银行
621604,中国工商银行
621605,中国工商银行
621606,中国工商银行
621607,中国工商银行
621608,中国工商银行
621609,中国工商银行
621610,中国工商银行
621611,中国工商银行
621612,中国工商银行
621613,中国工商银行
621614,中国工商银行
621615,中国工商银行
621616,中国工商银行
621617,中国工商银行
621618,中国工商银行
621670,中国工商银行
621719,中国工商银行
621720,中国工商银行
621721,中国工商银行
621722,中国工商银行
621723,中国工商银行
621724,中国工商银行
621731,中国工商银行
621732,中国工商银行
621733,中国工商银行
621749,中国工商银行
621750,中国工商银行
621761,中国工商银行
621762,中国工商银行
621765,中国工商银行
621781,中国工商银行
621804,中国工商银行
621807,中国工商银行
621813,中国工商银行
621814,中国工商银行
621817,中国工商银行
621901,中国工商银行
621903,中国工商银行
621904,中国工商银行
621905,中国工商银行
621906,中国工商银行
621907,中国工商银行
621908,中国工商银行
621909,中国工商银行
621910,中国工商银行
621911,中国工商银行
621912,中国工商银行
621913,中国工商银行
621914,中国工商银行
621915,中国工商银行
622002,中国工商银行
622003,中国工商银行
622004,中国工商银行
622005,中国工商银行
622006,中国工商银行
622007,中国工商银行
622008,中国工商银行
622010,中国工商银行
622011,中国工商银行
622012,中国工商银行
622013,中国工商银行
622015,中国工商银行
622016,中国工商银行
622017,中国工商银行
622018,中国工商银行
622019,中国工商银行
622020,中国工商银行
622102,中国工商银行
622103,中国工商银行
622104,中国工商银行
622105,中国工商银行
622110,中国工商银行
622111,中国工商银行
622114,中国工商银行
622158,中国工商银行
622159,中国工商银行
622171,中国工商银行
622200,中国工商银行
622202,中国工商银行
622203,中国工商银行
622206,中国工商银行
622208,中国工商银行
622210,中国工商银行
622211,中国工商银行
622212,中国工商银行
622213,中国工商银行
622214,中国工商银行
622215,中国工商银行
622220,中国工商银行
622223,中国工商银行
622224,中国工商银行
622225,中国工商银行
622227,中国工商银行
622229,中国工商银行
622230,中国工商银行
622231,中国工商银行
622232,中国工商银行
622233,中国工商银行
622234,中国工商银行
622235,中国工商银行
622236,中国工商银行
622237,中国工商银行
622238,中国工商银行
622239,中国工商银行
622240,中国工商银行
622245,中国工商银行
622246,中国工商银行
622302,中国工商银行
622304,中国工商银行
622306,中国工商银行
622307,中国工商银行
622309,中国工商银行
622313,中国工商银行
622314,中国工商银行
622315,中国工商银行
622317,中国工商银行
622402,中国工商银行
622403,中国工商银行
622404,中国工商银行
622502,中国工商银行
622504,中国工商银行
622505,中国工商银行
622509,中国工商银行
622510,中国工商银行
622513,中国工商银行
622597,中国工商银行
622599,中国工商银行
622604,中国工商银行
622605,中国工商银行
622606,中国工商银行
622703,中国工商银行
622706,中国工商银行
622715,中国工商银行
622806,中国工商银行
622889,中国工商银行
622902,中国工商银行
622903,中国工商银行
622904,中国工商银行
622926,中国工商银行
622927,中国工商银行
622928,中国工商银行
622929,中国工商银行
622930,中国工商银行
622931,中国工商银行
622944,中国工商银行
622949,中国工商银行
623002,中国工商银行
623006,中国工商银行
623008,中国工商银行
623011,中国工商银行
623012,中国工商银行
623014,中国工商银行
623015,中国工商银行
623062,中国工商银行
623100,中国工商银行
623202,中国工商银行
623301,中国工商银行
623335,中国工商银行
623400,中国工商银行
623500,中国工商银行
623602,中国工商银行
623700,中国工商银行
623803,中国工商银行
623901,中国工商银行
624000,中国工商银行
624100,中国工商银行
624200,中国工商银行
624301,中国工商银行
624402,中国工商银行
625017,中国工商银行
625018,中国工商银行
625019,中国工商银行
625021,中国工商银行
625022,中国工商银行
625114,中国工商银行
625115,中国工商银行
625116,中国工商银行
625330,中国工商银行
625331,中国工商银行
625332,中国工商银行
625708,中国工商银行
625709,中国工商银行
625865,中国工商银行
625866,中国工商银行
625899,中国工商银行
625900,中国工商银行
625914,中国工商银行
625915,中国工商银行
625916,中国工商银行
625917,中国工商银行
625918,中国工商银行
625925,中国工商银行
625927,中国工商银行
625939,中国工商银行
625942,中国工商银行
625986,中国工商银行
625987,中国工商银行
628286,中国工商银行
628288,中国工商银行
900000,中国工商银行
900010,中国工商银行
955880,中国工商银行
955881,中国工商银行
955882,中国工商银行
955888,中国工商银行
6245806,中国工商银行
6253098,中国工商银行
62451804,中国工商银行
62451810,中国工商银行
62451811,中国工商银行
62458071,中国工商银行
